program | PALAVRA RESERVADA | 1
teste | IDENTIFICADOR | 1
; | DELIMITADOR | 1
var | PALAVRA RESERVADA | 2
x | IDENTIFICADOR | 3
: | DELIMITADOR | 3
real | PALAVRA RESERVADA | 3
; | DELIMITADOR | 3
procedure | PALAVRA RESERVADA | 4
limpar | IDENTIFICADOR | 4
( | DELIMITADOR | 4
y | IDENTIFICADOR | 4
: | DELIMITADOR | 4
integer | PALAVRA RESERVADA | 4
) | DELIMITADOR | 4
; | DELIMITADOR | 4
var | PALAVRA RESERVADA | 5
z | IDENTIFICADOR | 6
: | DELIMITADOR | 6
boolean | PALAVRA RESERVADA | 6
; | DELIMITADOR | 6
x | IDENTIFICADOR | 7
: | DELIMITADOR | 7
integer | PALAVRA RESERVADA | 7
; | DELIMITADOR | 7
begin | PALAVRA RESERVADA | 8
x | IDENTIFICADOR | 9
:= | DELIMITADOR | 9
y | IDENTIFICADOR | 9
+ | OPERADOR DE ADICAO | 9
2 | INTEIRO | 9
+ | OPERADOR DE ADICAO | 9
x | IDENTIFICADOR | 9
; | DELIMITADOR | 9
z | IDENTIFICADOR | 10
:= | DELIMITADOR | 10
true | BOOLEAN | 10
<> | OPERADOR RELACIONAL | 10
7 | INTEIRO | 10
; | DELIMITADOR | 10
y | IDENTIFICADOR | 11
:= | DELIMITADOR | 11
2 | INTEIRO | 11
+ | OPERADOR DE ADICAO | 11
1 | INTEIRO | 11
; | DELIMITADOR | 11
end | PALAVRA RESERVADA | 12
begin | PALAVRA RESERVADA | 13
x | IDENTIFICADOR | 14
:= | DELIMITADOR | 14
y | IDENTIFICADOR | 14
+ | OPERADOR DE ADICAO | 14
2 | INTEIRO | 14
+ | OPERADOR DE ADICAO | 14
x | IDENTIFICADOR | 14
; | DELIMITADOR | 14
do | PALAVRA RESERVADA | 15
x | IDENTIFICADOR | 16
:= | DELIMITADOR | 16
3 | INTEIRO | 16
; | DELIMITADOR | 16
while | PALAVRA RESERVADA | 17
( | DELIMITADOR | 17
x | IDENTIFICADOR | 17
< | OPERADOR RELACIONAL | 17
10 | INTEIRO | 17
) | DELIMITADOR | 17
; | DELIMITADOR | 17
end | PALAVRA RESERVADA | 18
. | DELIMITADOR | 18
